name,parent,type,size
__init__.py,certifi,file,62
__main__.py,certifi,file,255
__pycache__,certifi,directory,2171
core.cpython-39.pyc,__pycache__,file,1510
__init__.cpython-39.pyc,__pycache__,file,242
__main__.cpython-39.pyc,__pycache__,file,419
big5freq.py,chardet,file,31254
big5prober.py,chardet,file,1757
chardistribution.py,chardet,file,9411
charsetgroupprober.py,chardet,file,3839
charsetprober.py,chardet,file,5110
codingstatemachine.py,chardet,file,3590
compat.py,chardet,file,1200
cp949prober.py,chardet,file,1855
enums.py,chardet,file,1661
escprober.py,chardet,file,3950
escsm.py,chardet,file,10510
eucjpprober.py,chardet,file,3749
euckrfreq.py,chardet,file,13546
euckrprober.py,chardet,file,1748
euctwfreq.py,chardet,file,31621
euctwprober.py,chardet,file,1747
gb2312freq.py,chardet,file,20715
gb2312prober.py,chardet,file,1754
hebrewprober.py,chardet,file,13838
jisfreq.py,chardet,file,25777
jpcntx.py,chardet,file,19643
langbulgarianmodel.py,chardet,file,105697
langgreekmodel.py,chardet,file,99571
langhebrewmodel.py,chardet,file,98776
langhungarianmodel.py,chardet,file,102498
langrussianmodel.py,chardet,file,131180
langthaimodel.py,chardet,file,103312
langturkishmodel.py,chardet,file,95946
latin1prober.py,chardet,file,5370
mbcharsetprober.py,chardet,file,3413
mbcsgroupprober.py,chardet,file,2012
mbcssm.py,chardet,file,25481
sbcharsetprober.py,chardet,file,6136
sbcsgroupprober.py,chardet,file,4309
sjisprober.py,chardet,file,3774
universaldetector.py,chardet,file,12503
utf8prober.py,chardet,file,2766
version.py,chardet,file,242
__init__.py,chardet,file,3271
cli,chardet,directory,5566
metadata,chardet,directory,27539
__pycache__,chardet,directory,374549
chardetect.py,cli,file,2747
__init__.py,cli,file,1
__pycache__,cli,directory,2818
chardetect.cpython-39.pyc,__pycache__,file,2656
__init__.cpython-39.pyc,__pycache__,file,162
languages.py,metadata,file,19474
__init__.py,metadata,file,0
__pycache__,metadata,directory,8065
languages.cpython-39.pyc,__pycache__,file,7898
__init__.cpython-39.pyc,__pycache__,file,167
big5freq.cpython-39.pyc,__pycache__,file,27145
big5prober.cpython-39.pyc,__pycache__,file,1100
chardistribution.cpython-39.pyc,__pycache__,file,6186
charsetgroupprober.cpython-39.pyc,__pycache__,file,2227
charsetprober.cpython-39.pyc,__pycache__,file,3449
codingstatemachine.cpython-39.pyc,__pycache__,file,2876
compat.cpython-39.pyc,__pycache__,file,365
cp949prober.cpython-39.pyc,__pycache__,file,1107
enums.cpython-39.pyc,__pycache__,file,2614
escprober.cpython-39.pyc,__pycache__,file,2599
escsm.cpython-39.pyc,__pycache__,file,7048
eucjpprober.cpython-39.pyc,__pycache__,file,2413
euckrfreq.cpython-39.pyc,__pycache__,file,12029
euckrprober.cpython-39.pyc,__pycache__,file,1108
euctwfreq.cpython-39.pyc,__pycache__,file,27149
euctwprober.cpython-39.pyc,__pycache__,file,1108
gb2312freq.cpython-39.pyc,__pycache__,file,19073
gb2312prober.cpython-39.pyc,__pycache__,file,1116
hebrewprober.cpython-39.pyc,__pycache__,file,2985
jisfreq.cpython-39.pyc,__pycache__,file,22101
jpcntx.cpython-39.pyc,__pycache__,file,37574
langbulgarianmodel.cpython-39.pyc,__pycache__,file,21776
langgreekmodel.cpython-39.pyc,__pycache__,file,20452
langhebrewmodel.cpython-39.pyc,__pycache__,file,20520
langhungarianmodel.cpython-39.pyc,__pycache__,file,21721
langrussianmodel.cpython-39.pyc,__pycache__,file,26324
langthaimodel.cpython-39.pyc,__pycache__,file,20696
langturkishmodel.cpython-39.pyc,__pycache__,file,20536
latin1prober.cpython-39.pyc,__pycache__,file,2921
mbcharsetprober.cpython-39.pyc,__pycache__,file,2228
mbcsgroupprober.cpython-39.pyc,__pycache__,file,1097
mbcssm.cpython-39.pyc,__pycache__,file,15684
sbcharsetprober.cpython-39.pyc,__pycache__,file,3081
sbcsgroupprober.cpython-39.pyc,__pycache__,file,1666
sjisprober.cpython-39.pyc,__pycache__,file,2449
